time,psi
33.95,0.726
33.98,0.726
34.02,0.726
34.05,0.726
34.08,0.726
34.11,0.726
34.14,0.726
34.18,0.726
34.21,0.726
34.24,0.726
34.27,0.726
34.3,0.726
34.34,0.726
34.37,0.726
34.4,0.726
34.43,0.726
34.46,0.726
34.5,0.726
34.53,0.726
34.56,0.726
34.59,0.726
34.62,0.726
34.66,0.726
34.69,0.726
34.72,0.726
34.75,0.726
34.78,0.726
34.82,0.726
34.85,0.726
34.88,0.726
34.91,0.726
34.94,0.726
34.98,0.726
35.01,0.726
35.04,0.726
35.07,0.726
35.1,0.726
35.14,0.726
35.17,0.726
35.2,0.726
35.23,0.726
35.26,0.726
35.3,0.726
35.33,0.726
35.36,0.726
35.39,0.726
35.42,0.726
35.46,0.726
35.49,0.726
35.52,0.726
35.55,0.726
35.58,0.726
35.62,0.726
35.65,0.726
35.68,0.726
35.71,0.726
35.74,0.726
35.78,0.726
35.81,0.726
35.84,0.726
35.87,0.726
35.9,0.726
35.94,0.726
35.97,0.726
36.0,0.726
36.03,0.726
36.06,0.726
36.1,0.726
36.13,0.726
36.16,0.726
36.19,0.726
36.22,0.726
36.26,0.726
36.29,0.726
36.32,0.726
36.35,0.726
36.38,0.726
36.42,0.726
36.45,0.726
36.48,0.726
36.51,0.726
36.54,0.726
36.58,0.726
36.61,0.726
36.64,0.726
36.67,0.726
36.7,0.726
36.74,0.726
36.77,0.726
36.8,0.726
36.83,0.726
36.86,0.726
36.9,0.726
36.93,0.726
36.96,0.726
36.99,0.726
37.02,0.726
37.06,0.726
37.09,0.726
37.12,0.726
37.15,0.726
37.18,0.726
37.22,0.726
37.25,0.726
37.28,0.726
37.31,0.726
37.34,0.726
37.38,0.726
37.41,0.726
37.44,0.726
37.47,0.726
37.5,0.726
37.54,0.726
37.57,0.726
37.6,0.726
37.63,0.726
37.66,0.726
37.7,0.726
37.73,0.726
37.76,0.726
37.79,0.726
37.82,0.726
37.86,0.726
37.89,0.726
37.92,0.726
37.95,0.726
37.98,0.726
38.02,0.726
38.05,0.726
38.08,0.726
38.11,0.726
38.14,0.726
38.18,0.726
38.21,0.726
38.24,0.726
38.27,0.726
38.3,0.726
38.34,0.726
38.37,0.726
38.4,0.726
38.43,0.726
38.46,0.726
38.5,0.726
38.53,0.726
38.56,0.726
38.59,0.726
38.62,0.726
38.66,0.726
38.69,0.726
38.72,0.726
38.75,0.726
38.78,0.726
38.82,0.726
38.85,0.726
38.88,0.726
38.91,0.726
38.94,0.726
38.98,0.726
39.01,0.726
39.04,0.726
39.07,0.726
39.1,0.726
39.14,0.726
39.17,0.726
39.2,0.726
39.23,0.726
39.26,0.726
39.3,0.726
39.33,0.726
39.36,0.726
39.39,0.726
39.42,0.726
39.46,0.726
39.49,0.726
39.52,0.726
39.55,0.726
39.58,0.726
39.62,0.726
39.65,0.726
39.68,0.726
39.71,0.726
39.74,0.726
39.78,0.726
39.81,0.726
39.84,0.726
39.87,0.726
39.9,0.726
39.94,0.726
39.97,0.726
40.0,0.726
40.03,0.726
40.06,0.726
40.1,0.726
40.13,0.726
40.16,0.726
40.19,0.726
40.22,0.726
40.26,0.726
40.29,0.726
40.32,0.726
40.35,0.726
40.38,0.726
40.42,0.726
40.45,0.726
40.48,0.726
40.51,0.726
40.54,0.726
40.58,0.726
40.61,0.726
40.64,0.726
40.67,0.726
40.7,0.726
40.74,0.726
40.77,0.726
40.8,0.726
40.83,0.726
40.86,0.726
40.9,0.726
40.93,0.726
40.96,0.726
40.99,0.726
41.02,0.726
41.06,0.726
41.09,0.726
41.12,0.726
41.15,0.726
41.18,0.726
41.22,0.726
41.25,0.726
41.28,0.726
41.31,0.726
41.34,0.726
41.38,0.726
41.41,0.726
41.44,0.726
41.47,0.726
41.5,0.726
41.54,0.726
41.57,0.726
41.6,0.726
41.63,0.726
41.66,0.726
41.7,0.726
41.73,0.726
41.76,0.726
41.79,0.726
41.82,0.726
41.86,0.726
41.89,0.726
41.92,0.726
41.95,0.726
41.98,0.726
42.02,0.726
42.05,0.726
42.08,0.726
42.11,0.726
42.14,0.726
42.18,0.726
42.21,0.726
42.24,0.726
42.27,0.726
42.3,0.726
42.34,0.726
42.37,0.726
42.4,0.726
42.43,0.726
42.46,0.726
42.5,0.726
42.53,0.726
42.56,0.726
42.59,0.726
42.62,0.726
42.66,0.726
42.69,0.726
42.72,0.726
42.75,0.726
42.78,0.726
42.82,0.726
42.85,0.726
42.88,0.726
42.91,0.726
42.94,0.726
42.98,0.726
43.01,0.726
43.04,0.726
43.07,0.726
43.1,0.726
43.14,0.726
43.17,0.726
43.2,0.726
43.23,0.726
43.26,0.726
43.3,0.726
43.33,0.726
43.36,0.726
43.39,0.726
43.42,0.726
43.46,0.726
43.49,0.726
43.52,0.726
43.55,0.726
43.58,0.726
43.62,0.726
43.65,0.726
43.68,0.726
43.71,0.726
43.74,0.726
43.78,0.726
43.81,0.726
43.84,0.726
43.87,0.726
43.9,0.726
43.94,0.726
43.97,0.726
44.0,0.726
44.03,0.726
44.06,0.726
44.1,0.726
44.13,0.726
44.16,0.726
44.19,0.726
44.22,0.726
44.26,0.726
44.29,0.726
44.32,0.726
44.35,0.726
44.38,0.726
44.42,0.726
44.45,0.726
44.48,0.726
44.51,0.726
44.54,0.726
44.58,0.726
44.61,0.726
44.64,0.726
44.67,0.726
44.7,0.726
44.74,0.726
44.77,0.726
44.8,0.726
44.83,0.726
44.86,0.726
44.9,0.726
44.93,0.726
44.96,0.726
44.99,0.726
45.02,0.726
45.06,0.726
45.09,0.726
45.12,0.726
45.15,0.726
45.18,0.726
45.22,0.726
45.25,0.726
45.28,0.726
45.31,0.726
45.34,0.726
45.38,0.726
45.41,0.726
45.44,0.726
45.47,0.726
45.5,0.726
45.54,0.726
45.57,0.726
45.6,0.726
45.63,0.726
45.66,0.726
45.7,0.726
45.73,0.726
45.76,0.726
45.79,0.726
45.82,0.726
45.86,0.726
45.89,0.726
45.92,0.726
45.95,0.726
45.98,0.726
46.02,0.726
46.05,0.726
46.08,0.726
46.11,0.726
46.14,0.726
46.18,0.726
46.21,0.726
46.24,0.726
46.27,0.726
46.3,0.726
46.34,0.726
46.37,0.726
46.4,0.726
46.43,0.726
46.46,0.726
46.5,0.726
46.53,0.726
46.56,0.726
46.59,0.726
46.62,0.726
46.66,0.726
46.69,0.726
46.72,0.726
46.75,0.726
46.78,0.726
46.82,0.726
46.85,0.726
46.88,0.726
46.91,0.726
46.94,0.726
46.98,0.726
47.01,0.726
47.04,0.726
47.07,0.726
47.1,0.726
47.14,0.726
47.17,0.726
47.2,0.726
47.23,0.726
47.26,0.726
47.3,0.726
47.33,0.726
47.36,0.726
47.39,0.726
47.42,0.726
47.46,0.726
47.49,0.726
47.52,0.726
47.55,0.726
47.58,0.726
47.62,0.726
47.65,0.726
47.68,0.726
47.71,0.726
47.74,0.726
47.78,0.726
47.81,0.726
47.84,0.726
47.87,0.726
47.9,0.726
47.94,0.726
47.97,0.726
48.0,0.726
48.03,0.726
48.06,0.726
48.1,0.726
48.13,0.726
48.16,0.726
48.19,0.726
48.22,0.726
48.26,0.726
48.29,0.726
48.32,0.726
48.35,0.726
48.38,0.726
48.42,0.726
48.45,0.726
48.48,0.726
48.51,0.726
48.54,0.726
48.58,0.726
48.61,0.726
48.64,0.726
48.67,0.726
48.7,0.726
48.74,0.726
48.77,0.726
48.8,0.726
48.83,0.726
48.86,0.726
48.9,0.726
48.93,0.726
48.96,0.726
48.99,0.726
49.02,0.726
49.06,0.726
49.09,0.726
49.12,0.726
49.15,0.726
49.18,0.726
49.22,0.726
49.25,0.726
49.28,0.726
49.31,0.726
49.34,0.726
49.38,0.726
49.41,0.726
49.44,0.726
49.47,0.726
49.5,0.726
49.54,0.726
49.57,0.726
49.6,0.726
49.63,0.726
49.66,0.726
49.7,0.726
49.73,0.726
49.76,0.726
49.79,0.726
49.82,0.726
49.86,0.726
49.89,0.726
49.92,0.726
49.95,0.726
49.98,0.726
50.02,0.726
50.05,0.726
50.08,0.726
50.11,0.726
50.14,0.726
50.18,0.726
50.21,0.726
50.24,0.726
50.27,0.726
50.3,0.726
50.34,0.726
50.37,0.726
50.4,0.726
50.43,0.726
50.46,0.726
50.5,0.726
50.53,0.726
50.56,0.726
50.59,0.726
50.62,0.726
50.66,0.726
50.69,0.726
50.72,0.726
50.75,0.726
50.78,0.726
50.82,0.726
50.85,0.726
50.88,0.726
50.91,0.726
50.94,0.726
50.98,0.726
51.01,0.726
51.04,0.726
51.07,0.726
51.1,0.726
51.14,0.726
51.17,0.726
51.2,0.726
51.23,0.726
51.26,0.726
51.3,0.726
51.33,0.726
51.36,0.726
51.39,0.726
51.42,0.726
51.46,0.726
51.49,0.726
51.52,0.726
51.55,0.726
51.58,0.726
51.62,0.726
51.65,0.726
51.68,0.726
51.71,0.726
51.74,0.726
51.78,0.726
51.81,0.726
51.84,0.726
51.87,0.726
51.9,0.726
51.94,0.726
51.97,0.726
52.0,0.726
52.03,0.726
52.06,0.726
52.1,0.726
52.13,0.726
52.16,0.726
52.19,0.726
52.22,0.726
52.26,0.726
52.29,0.726
52.32,0.726
52.35,0.726
52.38,0.726
52.42,0.726
52.45,0.726
52.48,0.726
52.51,0.726
52.54,0.726
52.58,0.726
52.61,0.726
52.64,0.726
52.67,0.726
52.7,0.726
52.74,0.726
52.77,0.726
52.8,0.726
52.83,0.726
52.86,0.726
52.9,0.726
52.93,0.726
52.96,0.726
52.99,0.726
53.02,0.726
53.06,0.726
53.09,0.726
53.12,0.726
53.15,0.726
53.18,0.726
53.22,0.726
53.25,0.726
53.28,0.726
53.31,0.726
53.34,0.726
53.38,0.726
53.41,0.726
53.44,0.726
53.47,0.726
53.5,0.726
53.54,0.726
53.57,0.726
53.6,0.726
53.63,0.726
53.66,0.726
53.7,0.726
53.73,0.726
53.76,0.726
53.79,0.726
53.82,0.726
53.86,0.726
53.89,0.726
53.92,0.726
53.95,0.726
53.98,0.726
54.02,0.726
54.05,0.726
54.08,0.726
54.11,0.726
54.14,0.726
54.18,0.726
54.21,0.726
54.24,0.726
54.27,0.726
54.3,0.726
54.34,0.726
54.37,0.726
54.4,0.726
54.43,0.726
54.46,0.726
54.5,0.726
54.53,0.726
54.56,0.726
54.59,0.726
54.62,0.726
54.66,0.726
54.69,0.726
54.72,0.726
54.75,0.726
54.78,0.726
54.82,0.726
54.85,0.726
54.88,0.726
54.91,0.726
54.94,0.726
54.98,0.726
55.01,0.726
55.04,0.726
55.07,0.726
55.1,0.726
55.14,0.726
55.17,0.726
55.2,0.726
55.23,0.726
55.26,0.726
55.3,0.726
55.33,0.726
55.36,0.726
55.39,0.726
55.42,0.726
55.46,0.726
55.49,0.726
55.52,0.726
55.55,0.726
55.58,0.726
55.62,0.726
55.65,0.726
55.68,0.726
55.71,0.726
55.74,0.726
55.78,0.726
55.81,0.726
55.84,0.726
55.87,0.726
55.9,0.726
55.94,0.726
55.97,0.726
56.0,0.726
56.03,0.726
56.06,0.726
56.1,0.726
56.13,0.726
56.16,0.726
56.19,0.726
56.22,0.726
56.26,0.726
56.29,0.726
56.32,0.726
56.35,0.726
56.38,0.726
56.42,0.726
56.45,0.726
56.48,0.726
56.51,0.726
56.54,0.726
56.58,0.726
56.61,0.726
56.64,0.726
56.67,0.726
56.7,0.726
56.74,0.726
56.77,0.726
56.8,0.726
56.83,0.726
56.86,0.726
56.9,0.726
